date,open,high,low,close,volume,dividends,stock splits
2024-08-06 13:35:29.994210,800.0,805.26,794.75,800.0,2058881,0.0,1.0
2024-08-07 13:35:29.994210,799.3,793.87,771.96,785.89,4399891,0.0,1.0
2024-08-08 13:35:29.994210,785.51,821.6,802.42,811.97,4694497,0.0,1.0
2024-08-09 13:35:29.994210,808.51,790.63,770.73,783.41,4127799,0.0,1.0
2024-08-10 13:35:29.994210,780.34,775.7,756.85,771.25,4357218,0.0,1.0
2024-08-11 13:35:29.994210,769.1,790.14,765.97,781.41,3761774,0.0,1.0
2024-08-12 13:35:29.994210,784.63,819.19,804.96,812.26,4331015,0.0,1.0
2024-08-13 13:35:29.994210,816.25,847.79,822.69,833.08,3489142,0.0,1.0
2024-08-14 13:35:29.994210,836.69,862.36,843.53,857.78,2007926,0.0,1.0
2024-08-15 13:35:29.994210,857.81,868.37,849.85,862.33,1353246,0.0,1.0
2024-08-16 13:35:29.994210,862.26,830.46,811.65,824.08,1104897,0.0,1.0
2024-08-17 13:35:29.994210,822.88,856.96,827.96,841.55,4139344,0.0,1.0
2024-08-18 13:35:29.994210,840.81,861.12,829.48,846.18,2463681,0.0,1.0
2024-08-19 13:35:29.994210,846.73,844.18,832.1,839.64,4139264,0.0,1.0
2024-08-20 13:35:29.994210,841.05,843.94,825.82,833.79,1474058,0.0,1.0
2024-08-21 13:35:29.994210,833.69,834.48,813.61,826.77,3664753,0.0,1.0
2024-08-22 13:35:29.994210,822.94,845.59,820.55,832.86,2630001,0.0,1.0
2024-08-23 13:35:29.994210,836.23,844.79,820.83,837.44,1767855,0.0,1.0
2024-08-24 13:35:29.994210,834.99,849.05,822.67,835.77,1332676,0.0,1.0
2024-08-25 13:35:29.994210,833.2,811.15,788.4,803.69,4652214,0.0,1.0
2024-08-26 13:35:29.994210,807.37,828.16,802.3,813.97,2644788,0.0,1.0
2024-08-27 13:35:29.994210,811.0,833.84,805.23,819.82,1330938,0.0,1.0
2024-08-28 13:35:29.994210,817.73,822.79,800.23,808.63,1806646,0.0,1.0
2024-08-29 13:35:29.994210,805.36,828.94,813.65,822.97,1665194,0.0,1.0
2024-08-30 13:35:29.994210,820.77,831.93,806.34,819.7,3976235,0.0,1.0
2024-08-31 13:35:29.994210,816.94,826.09,807.75,818.32,1138029,0.0,1.0
2024-09-01 13:35:29.994210,815.86,823.57,804.63,817.03,3401425,0.0,1.0
2024-09-02 13:35:29.994210,818.97,803.65,788.42,793.23,3020508,0.0,1.0
2024-09-03 13:35:29.994210,792.12,801.69,782.54,789.64,3545208,0.0,1.0
2024-09-04 13:35:29.994210,791.74,783.87,762.21,776.35,4063476,0.0,1.0
2024-09-05 13:35:29.994210,774.54,761.63,735.8,749.81,3357074,0.0,1.0
2024-09-06 13:35:29.994210,747.48,776.05,756.6,771.17,3255032,0.0,1.0
2024-09-07 13:35:29.994210,774.62,766.51,753.03,757.84,1341852,0.0,1.0
2024-09-08 13:35:29.994210,754.92,767.85,751.89,757.28,4077818,0.0,1.0
2024-09-09 13:35:29.994210,758.48,787.88,763.48,777.76,3167461,0.0,1.0
2024-09-10 13:35:29.994210,775.0,797.88,786.31,793.89,4108786,0.0,1.0
2024-09-11 13:35:29.994210,796.2,815.94,790.94,806.51,2823511,0.0,1.0
2024-09-12 13:35:29.994210,805.67,810.47,787.74,802.96,1111427,0.0,1.0
2024-09-13 13:35:29.994210,799.32,810.62,790.1,795.7,1759929,0.0,1.0
2024-09-14 13:35:29.994210,797.66,793.8,773.67,778.27,3947611,0.0,1.0
2024-09-15 13:35:29.994210,776.23,803.95,786.34,793.89,1716349,0.0,1.0
2024-09-16 13:35:29.994210,792.89,809.7,789.61,800.45,2877204,0.0,1.0
2024-09-17 13:35:29.994210,802.55,803.81,786.14,793.76,1813972,0.0,1.0
2024-09-18 13:35:29.994210,793.9,812.88,788.39,803.26,1757632,0.0,1.0
2024-09-19 13:35:29.994210,805.73,818.72,804.26,809.29,4888314,0.0,1.0
2024-09-20 13:35:29.994210,807.77,819.62,797.78,805.55,4500151,0.0,1.0
2024-09-21 13:35:29.994210,807.04,807.09,782.96,793.31,4622690,0.0,1.0
2024-09-22 13:35:29.994210,793.39,798.4,776.71,785.61,1590750,0.0,1.0
2024-09-23 13:35:29.994210,787.14,778.11,762.61,768.37,1272563,0.0,1.0
2024-09-24 13:35:29.994210,771.83,786.43,774.71,782.28,3166662,0.0,1.0
2024-09-25 13:35:29.994210,779.0,796.72,772.1,786.79,2845037,0.0,1.0
2024-09-26 13:35:29.994210,786.94,795.0,772.51,780.86,3166480,0.0,1.0
2024-09-27 13:35:29.994210,782.29,763.55,739.9,749.87,4472674,0.0,1.0
2024-09-28 13:35:29.994210,751.31,773.42,762.03,769.22,1560145,0.0,1.0
2024-09-29 13:35:29.994210,769.85,802.49,772.51,787.96,4935267,0.0,1.0
2024-09-30 13:35:29.994210,791.15,802.99,785.87,791.09,2546137,0.0,1.0
2024-10-01 13:35:29.994210,787.2,815.35,794.47,809.69,4864216,0.0,1.0
2024-10-02 13:35:29.994210,806.64,788.96,769.73,775.78,2746359,0.0,1.0
2024-10-03 13:35:29.994210,774.94,797.49,774.54,787.6,1684314,0.0,1.0
2024-10-04 13:35:29.994210,785.62,782.34,767.0,777.3,3126247,0.0,1.0
2024-10-05 13:35:29.994210,777.21,799.51,785.88,794.65,2009520,0.0,1.0
2024-10-06 13:35:29.994210,790.74,828.35,808.12,817.08,4797586,0.0,1.0
2024-10-07 13:35:29.994210,813.72,823.2,804.08,818.36,2704934,0.0,1.0
